PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x000a,1.69678,0x00000000,2016-11-10T16:08:28.027Z,2016-11-10T16:08:28.478Z
3,0x000a,0.732422,0x00000000,2016-11-10T16:08:28.847Z,2016-11-10T16:08:29.196Z
2,0x000a,24.0479,0x00000000,2016-11-10T16:08:28.795Z,2016-11-10T16:08:29.196Z
1,0x000a,1.68762,0x00000000,2016-11-10T16:08:28.748Z,2016-11-10T16:08:29.196Z
3,0x000a,0.747681,0x00000000,2016-11-10T16:08:29.506Z,2016-11-10T16:08:29.856Z
2,0x000a,24.0204,0x00000000,2016-11-10T16:08:29.473Z,2016-11-10T16:08:29.856Z
1,0x000a,1.5564,0x00000000,2016-11-10T16:08:29.440Z,2016-11-10T16:08:29.856Z
3,0x000a,0.723267,0x00000000,2016-11-10T16:08:30.164Z,2016-11-10T16:08:30.547Z
2,0x000a,24.0845,0x00000000,2016-11-10T16:08:30.127Z,2016-11-10T16:08:30.547Z
1,0x000a,1.66321,0x00000000,2016-11-10T16:08:30.083Z,2016-11-10T16:08:30.546Z
3,0x000a,0.717163,0x00000000,2016-11-10T16:08:30.897Z,2016-11-10T16:08:31.264Z
2,0x000a,25.5768,0x00000000,2016-11-10T16:08:30.867Z,2016-11-10T16:08:31.263Z
1,0x000a,1.55945,0x00000000,2016-11-10T16:08:30.819Z,2016-11-10T16:08:31.263Z
3,0x000a,0.738525,0x00000000,2016-11-10T16:08:31.544Z,2016-11-10T16:08:31.889Z
2,0x000a,27.1729,0x00000000,2016-11-10T16:08:31.523Z,2016-11-10T16:08:31.889Z
1,0x000a,1.63879,0x00000000,2016-11-10T16:08:31.489Z,2016-11-10T16:08:31.889Z
3,0x000a,0.717163,0x00000000,2016-11-10T16:08:32.182Z,2016-11-10T16:08:32.538Z
2,0x000a,25.5249,0x00000000,2016-11-10T16:08:32.163Z,2016-11-10T16:08:32.538Z
1,0x000a,1.70898,0x00000000,2016-11-10T16:08:32.126Z,2016-11-10T16:08:32.538Z
3,0x000a,0.714111,0x00000000,2016-11-10T16:08:32.857Z,2016-11-10T16:08:33.251Z
