PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
3,0x000a,0.796509,0x00000000,2016-11-10T19:42:32.027Z,2016-11-10T19:42:32.361Z
2,0x000a,16.7358,0x00000000,2016-11-10T19:42:31.975Z,2016-11-10T19:42:32.361Z
1,0x000a,0.192261,0x00000000,2016-11-10T19:42:31.946Z,2016-11-10T19:42:32.361Z
3,0x000a,0.802612,0x00000000,2016-11-10T19:42:32.693Z,2016-11-10T19:42:33.048Z
2,0x000a,16.2567,0x00000000,2016-11-10T19:42:32.723Z,2016-11-10T19:42:33.047Z
1,0x000a,0.308228,0x00000000,2016-11-10T19:42:32.669Z,2016-11-10T19:42:33.047Z
2,0x000a,16.803,0x00000000,2016-11-10T19:42:33.304Z,2016-11-10T19:42:33.752Z
1,0x000a,0.442505,0x00000000,2016-11-10T19:42:33.262Z,2016-11-10T19:42:33.752Z
3,0x000a,0.787354,0x00000000,2016-11-10T19:42:34.072Z,2016-11-10T19:42:34.506Z
2,0x000a,16.6138,0x00000000,2016-11-10T19:42:34.053Z,2016-11-10T19:42:34.505Z
1,0x000a,0.384521,0x00000000,2016-11-10T19:42:34.031Z,2016-11-10T19:42:34.505Z
3,0x000a,0.78125,0x00000000,2016-11-10T19:42:34.838Z,2016-11-10T19:42:35.238Z
2,0x000a,15.9058,0x00000000,2016-11-10T19:42:34.798Z,2016-11-10T19:42:35.238Z
1,0x000a,0.106812,0x00000000,2016-11-10T19:42:34.770Z,2016-11-10T19:42:35.237Z
3,0x000a,0.793457,0x00000000,2016-11-10T19:42:35.551Z,2016-11-10T19:42:35.932Z
2,0x000a,16.4246,0x00000000,2016-11-10T19:42:35.516Z,2016-11-10T19:42:35.931Z
1,0x000a,0.402832,0x00000000,2016-11-10T19:42:35.483Z,2016-11-10T19:42:35.931Z
3,0x000a,0.799561,0x00000000,2016-11-10T19:42:36.249Z,2016-11-10T19:42:36.684Z
2,0x000a,16.4001,0x00000000,2016-11-10T19:42:36.215Z,2016-11-10T19:42:36.684Z
1,0x000a,0.509644,0x00000000,2016-11-10T19:42:36.167Z,2016-11-10T19:42:36.684Z
3,0x000a,0.842285,0x00000000,2016-11-10T19:42:37.006Z,2016-11-10T19:42:37.406Z
2,0x000a,16.3879,0x00000000,2016-11-10T19:42:36.964Z,2016-11-10T19:42:37.406Z
1,0x000a,0.158691,0x00000000,2016-11-10T19:42:36.932Z,2016-11-10T19:42:37.405Z
3,0x000a,0.802612,0x00000000,2016-11-10T19:42:37.696Z,2016-11-10T19:42:38.076Z
2,0x000a,15.9332,0x00000000,2016-11-10T19:42:37.662Z,2016-11-10T19:42:38.075Z
1,0x000a,0.50354,0x00000000,2016-11-10T19:42:37.625Z,2016-11-10T19:42:38.075Z
3,0x000a,0.799561,0x00000000,2016-11-10T19:42:38.394Z,2016-11-10T19:42:38.819Z
2,0x000a,16.8396,0x00000000,2016-11-10T19:42:38.347Z,2016-11-10T19:42:38.819Z
1,0x000a,0.622559,0x00000000,2016-11-10T19:42:38.307Z,2016-11-10T19:42:38.819Z
3,0x000a,0.802612,0x00000000,2016-11-10T19:42:39.141Z,2016-11-10T19:42:39.580Z
2,0x000a,16.4368,0x00000000,2016-11-10T19:42:39.164Z,2016-11-10T19:42:39.580Z
1,0x000a,0.732422,0x00000000,2016-11-10T19:42:39.088Z,2016-11-10T19:42:39.579Z
2,0x000a,16.9006,0x00000000,2016-11-10T19:42:39.900Z,2016-11-10T19:42:40.309Z
1,0x000a,0.726318,0x00000000,2016-11-10T19:42:39.823Z,2016-11-10T19:42:40.309Z
2,0x000a,17.3889,0x00000000,2016-11-10T19:42:40.601Z,2016-11-10T19:42:41.038Z
1,0x000a,0.756836,0x00000000,2016-11-10T19:42:40.562Z,2016-11-10T19:42:41.038Z
2,0x000a,16.8976,0x00000000,2016-11-10T19:42:41.321Z,2016-11-10T19:42:41.771Z
1,0x000a,0.656128,0x00000000,2016-11-10T19:42:41.286Z,2016-11-10T19:42:41.770Z
2,0x000a,16.983,0x00000000,2016-11-10T19:42:42.068Z,2016-11-10T19:42:42.503Z
1,0x000a,0.598145,0x00000000,2016-11-10T19:42:42.046Z,2016-11-10T19:42:42.503Z
2,0x000a,17.2058,0x00000000,2016-11-10T19:42:42.797Z,2016-11-10T19:42:43.217Z
1,0x000a,0.579834,0x00000000,2016-11-10T19:42:42.743Z,2016-11-10T19:42:43.217Z
3,0x000a,0.799561,0x00000000,2016-11-10T19:42:43.555Z,2016-11-10T19:42:43.945Z
2,0x000a,16.452,0x00000000,2016-11-10T19:42:43.536Z,2016-11-10T19:42:43.945Z
1,0x000a,0.210571,0x00000000,2016-11-10T19:42:43.502Z,2016-11-10T19:42:43.945Z
2,0x000a,16.2628,0x00000000,2016-11-10T19:42:44.233Z,2016-11-10T19:42:44.678Z
1,0x000a,0.585938,0x00000000,2016-11-10T19:42:44.197Z,2016-11-10T19:42:44.678Z
3,0x000a,0.802612,0x00000000,2016-11-10T19:42:45.025Z,2016-11-10T19:42:45.410Z
2,0x000a,16.7938,0x00000000,2016-11-10T19:42:44.987Z,2016-11-10T19:42:45.410Z
1,0x000a,0.0579834,0x00000000,2016-11-10T19:42:44.954Z,2016-11-10T19:42:45.409Z
2,0x000a,16.4703,0x00000000,2016-11-10T19:42:45.688Z,2016-11-10T19:42:46.137Z
1,0x000a,0.00915527,0x00000000,2016-11-10T19:42:45.650Z,2016-11-10T19:42:46.136Z
3,0x000a,0.799561,0x00000000,2016-11-10T19:42:46.486Z,2016-11-10T19:42:46.887Z
2,0x000a,15.8051,0x00000000,2016-11-10T19:42:46.436Z,2016-11-10T19:42:46.887Z
1,0x000a,0.482178,0x00000000,2016-11-10T19:42:46.393Z,2016-11-10T19:42:46.887Z
3,0x000a,0.790405,0x00000000,2016-11-10T19:42:47.198Z,2016-11-10T19:42:47.571Z
2,0x000a,15.8386,0x00000000,2016-11-10T19:42:47.172Z,2016-11-10T19:42:47.571Z
1,0x000a,0.280762,0x00000000,2016-11-10T19:42:47.119Z,2016-11-10T19:42:47.571Z
3,0x000a,0.802612,0x00000000,2016-11-10T19:42:47.953Z,2016-11-10T19:42:48.289Z
2,0x000a,15.625,0x00000000,2016-11-10T19:42:47.876Z,2016-11-10T19:42:48.288Z
1,0x000a,0.375366,0x00000000,2016-11-10T19:42:47.815Z,2016-11-10T19:42:48.288Z
3,0x000a,0.799561,0x00000000,2016-11-10T19:42:48.607Z,2016-11-10T19:42:48.969Z
2,0x000a,15.6921,0x00000000,2016-11-10T19:42:48.624Z,2016-11-10T19:42:48.969Z
1,0x000a,0.167847,0x00000000,2016-11-10T19:42:48.560Z,2016-11-10T19:42:48.969Z
3,0x000a,0.830078,0x00000000,2016-11-10T19:42:49.243Z,2016-11-10T19:42:49.559Z
2,0x000a,16.0919,0x00000000,2016-11-10T19:42:49.226Z,2016-11-10T19:42:49.558Z
1,0x000a,0.338745,0x00000000,2016-11-10T19:42:49.190Z,2016-11-10T19:42:49.558Z
3,0x000a,0.799561,0x00000000,2016-11-10T19:42:49.862Z,2016-11-10T19:42:50.217Z
2,0x000a,16.1774,0x00000000,2016-11-10T19:42:49.832Z,2016-11-10T19:42:50.217Z
1,0x000a,0.320435,0x00000000,2016-11-10T19:42:49.799Z,2016-11-10T19:42:50.217Z
3,0x000a,0.802612,0x00000000,2016-11-10T19:42:50.563Z,2016-11-10T19:42:50.872Z
2,0x000a,15.6036,0x00000000,2016-11-10T19:42:50.529Z,2016-11-10T19:42:50.872Z
1,0x000a,0.302124,0x00000000,2016-11-10T19:42:50.472Z,2016-11-10T19:42:50.872Z
3,0x000a,0.759888,0x00000000,2016-11-10T19:42:51.237Z,2016-11-10T19:42:51.584Z
